GameId,Week,Date,Away,Home,AwayScore,HomeScore,Spread,Winner,Underdog
03-001,3,Thu September 18,Dolphins,Bills,0,0,6.5,H or A,H
03-002,3,Sun September 21,Falcons,Panthers,0,0,3.5,H or A,A
03-003,3,Sun September 21,Bengals,Vikings,0,0,7.5,H or A,A
03-004,3,Sun September 21,Packers,Browns,0,0,11.5,H or A,H
03-005,3,Sun September 21,Texans,Jaguars,0,0,3.5,H or A,A
03-006,3,Sun September 21,Colts,Titans,0,0,0.5,H or A,A
03-007,3,Sun September 21,Raiders,Commanders,0,0,4.5,H or A,A
03-008,3,Sun September 21,Rams,Eagles,0,0,6.5,H or A,H
03-009,3,Sun September 21,Jets,Buccaneers,0,0,8.5,H or A,H
03-010,3,Sun September 21,Steelers,Patriots,0,0,2.5,H or A,A
03-011,3,Sun September 21,Broncos,Chargers,0,0,1.5,H or A,A
03-012,3,Sun September 21,Saints,Seahawks,0,0,6.5,H or A,A
03-013,3,Sun September 21,Cardinals,49ers,0,0,3.5,H or A,H
03-014,3,Sun September 21,Cowboys,Bears,0,0,7.5,H or A,H
03-015,3,Sun September 21,Chiefs,Giants,0,0,10.5,H or A,A
03-016,3,Mon September 22,Lions,Ravens,0,0,3.5,H or A,A
